application_id,candidate_id,job_id,source_id,recruiter_id,application_date,application_status
1,29,2,1,19,2025-04-16,Rejected
2,102,19,11,1,2025-07-22,Screening
3,123,14,11,18,2025-10-30,Rejected
4,54,8,5,17,2025-06-09,Interview
5,1307,19,1,1,2025-08-29,Applied
6,1638,1,5,17,2025-06-16,Rejected
7,1141,16,3,14,2025-11-28,Hired
8,616,25,2,14,2025-01-03,Rejected
9,557,24,13,12,2025-04-26,Rejected
10,114,15,5,4,2025-09-01,Interview
11,855,20,6,16,2025-08-31,Applied
12,1567,24,2,11,2025-11-08,Applied
13,676,30,2,11,2025-10-17,Hired
14,977,5,11,6,2025-11-02,Offer
15,701,3,6,4,2025-09-16,Applied
16,1317,17,1,8,2025-06-15,Applied
17,1219,29,13,8,2025-09-26,Rejected
18,292,10,1,17,2025-04-08,Offer
19,1911,5,5,12,2025-04-13,Screening
20,261,11,2,7,2025-01-21,Interview
21,1966,6,1,4,2025-08-23,Rejected
22,1231,4,1,2,2025-08-14,Applied
23,564,7,9,13,2025-12-22,Rejected
24,49,19,5,19,2025-06-03,Applied
25,1030,7,12,11,2025-10-07,Interview
26,379,14,2,13,2025-06-04,Screening
27,1418,17,4,10,2025-09-10,Hired
28,1910,23,2,3,2025-05-03,Screening
29,224,17,2,13,2025-01-06,Rejected
30,1047,13,2,12,2025-02-05,Applied
31,1008,27,5,19,2025-11-09,Interview
32,657,1,10,17,2025-12-14,Rejected
33,110,2,1,14,2025-02-06,Applied
34,724,18,10,19,2025-01-06,Applied
35,1836,4,5,10,2025-04-07,Offer
36,553,13,1,20,2025-12-13,Screening
37,1423,1,5,20,2025-10-07,Offer
38,1196,4,1,16,2025-01-06,Interview
39,1006,2,2,8,2025-01-17,Interview
40,698,4,4,7,2025-06-17,Interview
41,726,16,2,5,2025-12-16,Rejected
42,306,4,11,9,2025-04-14,Applied
43,1588,25,4,2,2025-06-19,Offer
44,1606,9,7,11,2025-05-12,Interview
45,1732,17,6,1,2025-09-26,Applied
46,959,21,12,18,2025-01-14,Offer
47,954,23,7,13,2025-06-04,Offer
48,1175,20,15,15,2025-05-11,Rejected
49,1452,28,1,10,2025-05-09,Rejected
50,621,21,11,3,2025-04-13,Applied
51,1491,2,1,8,2025-08-06,Screening
52,630,3,15,10,2025-03-03,Offer
53,877,23,2,8,2025-03-28,Rejected
54,1631,26,4,16,2025-08-29,Interview
55,1792,29,13,1,2025-03-14,Interview
56,556,15,3,13,2025-03-29,Applied
57,1972,7,8,16,2025-09-04,Rejected
58,67,4,13,9,2025-10-24,Applied
59,1180,12,6,18,2025-11-18,Offer
60,835,1,7,15,2025-02-09,Applied
61,206,17,13,16,2025-05-04,Applied
62,786,4,1,17,2025-07-08,Interview
63,155,4,2,12,2025-09-04,Rejected
64,1715,22,11,1,2025-09-08,Rejected
65,1533,23,11,1,2025-12-31,Screening
66,1596,25,9,12,2025-05-27,Applied
67,1098,9,5,13,2025-05-06,Offer
68,1073,26,2,4,2025-08-19,Rejected
69,783,28,8,14,2025-07-07,Rejected
70,1491,28,1,6,2025-03-09,Rejected
71,585,21,3,17,2025-07-15,Screening
72,708,10,4,4,2025-08-17,Interview
73,1935,27,6,17,2025-09-21,Interview
74,179,19,8,14,2025-09-11,Rejected
75,1072,19,4,2,2025-12-20,Applied
76,1096,15,11,8,2025-08-05,Screening
77,113,22,8,16,2025-11-20,Rejected
78,757,17,14,3,2025-07-01,Interview
79,897,7,10,9,2025-03-23,Offer
80,1927,3,1,9,2025-10-14,Rejected
81,821,5,15,18,2025-07-31,Interview
82,159,16,2,11,2025-05-23,Offer
83,786,23,6,7,2025-01-20,Rejected
84,1804,7,9,15,2025-03-30,Applied
85,1840,16,4,20,2025-03-13,Offer
86,1054,9,5,2,2025-06-12,Rejected
87,1121,1,3,12,2025-12-22,Applied
88,251,3,6,1,2025-03-29,Interview
89,1543,25,3,4,2025-12-28,Screening
90,1116,8,3,11,2025-05-05,Interview
91,113,18,3,5,2025-06-30,Rejected
92,259,24,13,12,2025-11-13,Screening
93,107,24,6,2,2025-05-02,Interview
94,575,18,2,1,2025-02-07,Offer
95,1414,24,1,8,2025-11-24,Hired
96,991,19,2,6,2025-12-18,Rejected
97,1382,7,15,6,2025-04-07,Rejected
98,1807,29,4,3,2025-12-23,Applied
99,1223,25,2,4,2025-07-01,Interview
100,427,20,1,9,2025-05-25,Screening
101,1502,27,5,20,2025-02-05,Screening
102,859,6,1,5,2025-04-07,Rejected
103,1873,25,2,19,2025-03-08,Applied
104,1527,27,2,8,2025-02-20,Rejected
105,1682,11,2,17,2025-04-11,Rejected
106,918,5,10,14,2025-04-13,Interview
107,1597,12,3,3,2025-10-06,Applied
108,1144,1,5,3,2025-09-25,Rejected
109,1597,19,1,1,2025-04-18,Rejected
110,1333,11,5,10,2025-09-24,Applied
111,1562,15,10,9,2025-03-24,Interview
112,627,25,5,11,2025-07-24,Offer
113,475,16,4,16,2025-02-02,Hired
114,552,3,1,2,2025-07-04,Rejected
115,344,11,10,19,2025-11-29,Rejected
116,628,11,5,17,2025-03-08,Interview
117,136,10,5,15,2025-10-08,Rejected
118,277,2,14,13,2025-08-05,Rejected
119,1835,20,5,11,2025-06-20,Screening
120,1557,5,9,2,2025-05-11,Rejected
121,1923,23,5,16,2025-01-28,Rejected
122,31,23,2,14,2025-08-26,Rejected
123,247,25,5,5,2025-03-25,Interview
124,411,29,8,9,2025-06-21,Interview
125,27,8,3,15,2025-11-12,Screening
126,73,13,2,5,2025-05-28,Rejected
127,1977,15,7,10,2025-06-10,Rejected
128,1121,2,5,20,2025-01-22,Rejected
129,673,12,2,18,2025-02-27,Offer
130,1370,24,7,3,2025-03-04,Hired
131,476,8,1,15,2025-08-17,Screening
132,1324,21,15,11,2025-09-30,Rejected
133,1323,29,15,20,2025-12-14,Rejected
134,287,19,2,20,2025-02-11,Screening
135,1909,25,1,5,2025-05-30,Screening
136,1473,28,3,9,2025-06-02,Applied
137,212,23,3,7,2025-11-20,Rejected
138,1100,1,5,9,2025-07-03,Rejected
139,401,8,9,4,2025-01-23,Hired
140,655,10,4,3,2025-02-17,Rejected
141,1058,13,10,12,2025-01-31,Screening
142,498,5,5,7,2025-01-05,Hired
143,848,22,7,11,2025-07-15,Screening
144,1540,9,1,7,2025-04-27,Applied
145,1352,10,1,2,2025-03-27,Screening
146,98,14,2,6,2025-08-28,Screening
147,366,24,8,14,2025-07-09,Offer
148,1753,30,1,19,2025-03-23,Screening
149,463,11,5,13,2025-01-30,Screening
150,28,14,2,19,2025-04-12,Interview
151,713,30,5,17,2025-06-20,Interview
152,1410,3,8,17,2025-07-13,Interview
153,273,29,8,16,2025-06-28,Interview
154,826,21,2,9,2025-06-12,Screening
155,1151,16,3,20,2025-08-20,Rejected
156,202,20,14,11,2025-05-04,Interview
157,1545,30,2,20,2025-09-13,Screening
158,1311,17,3,9,2025-03-09,Interview
159,450,5,3,6,2025-11-21,Applied
160,1112,26,5,14,2025-09-29,Interview
161,1342,7,5,12,2025-07-10,Interview
162,19,17,2,20,2025-04-19,Applied
163,1617,20,8,8,2025-04-29,Screening
164,1131,22,8,13,2025-06-16,Applied
165,1482,11,9,4,2025-10-21,Rejected
166,311,12,14,15,2025-05-11,Rejected
167,412,25,4,12,2025-11-15,Applied
168,742,27,5,19,2025-10-21,Screening
169,624,24,3,14,2025-02-04,Rejected
170,732,2,14,20,2025-09-11,Applied
171,635,27,2,1,2025-03-12,Screening
172,498,19,10,18,2025-04-18,Screening
173,244,26,3,17,2025-08-05,Applied
174,690,29,5,15,2025-06-27,Rejected
175,577,5,5,15,2025-11-10,Screening
176,1404,11,10,17,2025-03-28,Interview
177,515,23,5,7,2025-03-16,Interview
178,207,19,4,11,2025-03-17,Applied
179,948,28,3,3,2025-04-04,Offer
180,394,7,2,10,2025-04-05,Applied
181,1045,21,6,7,2025-07-05,Rejected
182,1829,26,1,5,2025-11-12,Screening
183,1551,22,2,3,2025-04-24,Screening
184,1367,6,5,2,2025-09-23,Interview
185,718,11,2,4,2025-12-13,Screening
186,1999,27,6,15,2025-07-07,Rejected
187,202,14,7,9,2025-03-18,Offer
188,120,28,1,15,2025-02-05,Screening
189,1673,4,5,17,2025-11-30,Rejected
190,1836,28,1,15,2025-10-23,Rejected
191,1831,8,2,15,2025-12-12,Applied
192,389,9,5,19,2025-11-17,Screening
193,1561,2,8,9,2025-09-03,Applied
194,1848,25,11,2,2025-02-09,Rejected
195,234,11,8,7,2025-11-27,Interview
196,1657,28,1,7,2025-01-21,Interview
197,602,20,2,12,2025-11-18,Rejected
198,1344,22,2,16,2025-06-15,Applied
