interview_id,application_id,interview_date,interview_type,interview_round,interview_status,interview_score
1,4,2025-06-20,Case Study,2,Passed,88.47
2,7,2025-12-15,Case Study,2,Passed,98.69
3,10,2025-09-15,HR,1,Passed,41.39
4,13,2025-10-26,Managerial,1,Failed,89.68
5,14,2025-12-01,Technical,1,Failed,84.38
6,18,2025-04-29,Managerial,2,Failed,66.22
7,20,2025-01-26,Technical,1,Passed,84.37
8,25,2025-10-14,Managerial,3,Passed,44.86
9,27,2025-10-01,Technical,2,Passed,51.12
10,31,2025-12-08,Managerial,3,Failed,94.11
11,35,2025-04-18,HR,1,Passed,50.17
12,37,2025-10-22,Managerial,3,Passed,86.89
13,38,2025-01-14,Managerial,1,Failed,47.4
14,39,2025-02-12,Case Study,3,Passed,88.71
15,40,2025-06-22,Managerial,1,Failed,82.23
16,43,2025-06-27,Case Study,1,Passed,62.67
17,44,2025-06-09,Technical,3,Passed,51.44
18,46,2025-02-02,Case Study,3,Failed,68.12
19,47,2025-06-15,Managerial,3,Passed,44.12
20,52,2025-03-07,HR,1,Passed,80.24
21,54,2025-09-20,Technical,1,Passed,75.75
22,55,2025-03-23,Technical,3,Failed,75.72
23,59,2025-12-03,Case Study,2,Passed,82.43
24,62,2025-07-25,HR,2,Passed,71.07
25,67,2025-05-24,Managerial,2,Failed,55.99
26,72,2025-08-27,Managerial,1,Failed,48.38
27,73,2025-10-01,Managerial,1,Passed,41.61
28,78,2025-07-25,Case Study,1,Passed,44.93
29,79,2025-03-26,Managerial,1,Failed,54.47
30,81,2025-08-29,HR,3,Failed,44.81
31,82,2025-06-12,HR,3,Passed,41.69
32,85,2025-04-04,Technical,3,Passed,56.11
33,88,2025-04-15,Case Study,2,Passed,75.14
34,90,2025-06-02,Managerial,1,Passed,68.25
35,93,2025-05-05,Technical,2,Passed,96.09
36,94,2025-03-01,Managerial,2,Passed,40.06
37,95,2025-12-05,HR,2,Passed,72.41
38,99,2025-07-14,Managerial,2,Passed,77.28
39,106,2025-04-28,Technical,2,Passed,89.1
40,111,2025-03-29,Case Study,1,Passed,65.84
41,112,2025-08-06,HR,3,Passed,62.9
42,113,2025-03-03,Technical,2,Passed,66.04
43,116,2025-03-22,Case Study,1,Failed,82.67
44,123,2025-04-10,Case Study,1,Passed,42.98
45,124,2025-07-01,HR,3,Passed,76.22
46,129,2025-03-11,HR,3,Passed,57.8
47,130,2025-03-13,Managerial,3,Passed,96.65
48,139,2025-02-10,Case Study,1,Passed,48.73
49,142,2025-01-15,Case Study,3,Failed,48.74
50,147,2025-08-04,Technical,1,Failed,45.37
51,150,2025-04-20,Managerial,1,Passed,40.66
52,151,2025-06-25,Managerial,2,Passed,42.91
53,152,2025-08-05,Technical,3,Failed,88.3
54,153,2025-07-16,Case Study,1,Passed,50.28
55,156,2025-05-27,Managerial,3,Passed,56.3
56,158,2025-03-26,Case Study,2,Failed,86.45
57,160,2025-10-09,Case Study,3,Failed,64.71
58,161,2025-07-20,Case Study,2,Failed,74.1
59,176,2025-04-06,Case Study,1,Passed,45.91
60,177,2025-04-01,Managerial,1,Passed,85.06
61,179,2025-04-28,Technical,2,Passed,80.27
62,184,2025-09-26,HR,1,Failed,92.56
63,187,2025-03-31,Technical,1,Failed,69.07
64,195,2025-12-07,HR,2,Passed,73.75
65,196,2025-02-03,Managerial,1,Failed,61.28
66,199,2025-08-27,Technical,1,Failed,55.74
67,207,2025-10-18,HR,2,Failed,43.81
68,208,2025-12-17,Technical,1,Failed,53.6
69,209,2025-11-07,Managerial,3,Passed,94.48
70,213,2025-04-20,Case Study,2,Passed,66.99
71,215,2025-09-29,Case Study,2,Passed,78.57
72,218,2025-02-10,Technical,3,Passed,99.65
73,223,2025-05-14,Managerial,3,Failed,77.49
74,230,2025-07-15,Case Study,3,Passed,83.94
75,231,2025-10-14,Managerial,3,Passed,40.8
76,232,2025-06-18,HR,1,Passed,53.38
77,237,2025-10-12,Case Study,2,Passed,67.1
78,238,2025-08-09,Case Study,2,Passed,88.89
79,240,2025-07-10,Technical,2,Failed,55.78
80,242,2025-09-10,HR,1,Passed,42.2
81,244,2025-04-19,Managerial,2,Passed,64.53
82,248,2025-03-24,Managerial,2,Passed,55.63
83,257,2025-07-12,Case Study,1,Failed,64.83
84,259,2025-12-16,Case Study,1,Failed,63.84
85,261,2025-05-17,Technical,3,Failed,50.42
86,263,2025-05-19,Case Study,1,Failed,61.55
87,265,2025-09-11,Managerial,1,Failed,40.76
88,266,2025-10-21,Case Study,3,Failed,56.34
89,267,2025-08-24,Managerial,2,Failed,87.89
90,268,2026-01-13,Case Study,1,Failed,75.97
91,272,2025-06-07,Case Study,2,Passed,96.13
92,273,2025-03-18,Technical,1,Passed,51.56
93,275,2025-02-03,Case Study,1,Passed,90.59
94,279,2025-04-23,HR,1,Passed,98.43
95,281,2025-03-15,HR,3,Passed,93.12
96,282,2025-05-18,Managerial,3,Passed,99.56
97,296,2025-09-29,Case Study,2,Passed,56.64
98,298,2025-09-28,Managerial,2,Failed,85.41
99,307,2025-11-29,HR,1,Failed,79.94
100,313,2025-01-20,Technical,2,Passed,93.08
101,314,2025-03-02,Case Study,2,Passed,62.57
102,316,2025-04-23,Managerial,3,Passed,83.48
103,317,2025-08-10,Managerial,1,Failed,61.96
104,321,2025-09-30,Case Study,2,Passed,95.61
105,322,2025-04-12,Technical,1,Passed,76.4
106,323,2025-02-12,Managerial,3,Passed,78.73
107,324,2025-02-05,HR,2,Passed,73.47
108,326,2025-02-20,Managerial,3,Passed,86.58
109,330,2025-06-06,HR,2,Passed,75.7
110,331,2025-03-23,Managerial,2,Failed,83.6
111,333,2025-09-25,Technical,1,Failed,72.51
112,336,2026-01-18,Technical,3,Passed,97.73
113,339,2025-01-20,Managerial,3,Passed,84.29
114,340,2025-04-16,Managerial,3,Passed,85.75
115,344,2025-06-23,Technical,3,Passed,62.2
116,347,2025-02-16,Case Study,2,Passed,58.25
117,349,2025-01-14,Case Study,2,Failed,40.89
118,351,2025-07-18,HR,2,Failed,91.47
119,352,2025-12-05,Technical,3,Passed,51.47
120,353,2025-05-10,Managerial,3,Passed,97.71
121,354,2025-05-07,Case Study,3,Failed,86.54
122,357,2025-08-29,Technical,3,Passed,88.94
123,359,2026-01-06,Technical,3,Failed,88.26
124,367,2025-10-15,HR,1,Failed,57.17
