feature,importance
num__experience_years,0.27065523923451296
num__age,0.20818856039384442
cat__source_name_Naukri,0.02621990010852698
cat__source_name_LinkedIn,0.02441790122372881
cat__highest_education_MCA,0.021673952210543967
cat__highest_education_MBA,0.021213406629074068
cat__highest_education_M.Tech,0.02106448945262109
cat__highest_education_B.Sc,0.02085288582414588
cat__source_name_Referral,0.020488251423768023
cat__highest_education_M.Com,0.020337008099883567
cat__source_name_Company Website,0.019684451301319877
cat__highest_education_B.E.,0.019159823966556196
cat__source_name_Indeed,0.017338198415379567
cat__job_title_Data Scientist,0.01658047226945351
cat__highest_education_B.Tech,0.015372994914945547
cat__source_name_Internshala,0.01480787415139528
cat__source_name_Employee Referral,0.014458610009421695
cat__source_name_Glassdoor,0.014307084323075961
cat__employment_type_Contract,0.013834992378449304
cat__employment_type_Full-time,0.013399357448527606
cat__source_name_Campus Hiring,0.013156562857481896
cat__source_name_Consultancy,0.012983986948393136
cat__job_title_ML Engineer,0.011866848725442417
cat__department_Data,0.011841765823015028
cat__job_title_Business Intelligence Analyst,0.011397613823663841
cat__department_Engineering,0.01108635439699351
cat__job_title_Frontend Developer,0.010909379630580286
cat__source_name_Hirect,0.010616220998603543
cat__department_Product,0.009483059903330288
cat__source_name_CutShort,0.008766128795955036
cat__job_title_Product Manager,0.008763841929348173
cat__source_name_Job Fair,0.008696253121815255
cat__job_title_Backend Developer,0.008125067299507446
cat__job_title_Software Engineer,0.008105789828093107
cat__source_name_AngelList,0.008044293572203327
cat__job_title_Product Analyst,0.007750467472312911
cat__job_title_Data Analyst,0.006944008820417379
cat__source_name_Other,0.006622486553259454
cat__department_Business,0.005638689233088302
cat__job_title_Business Analyst,0.005145726487321392
