Feature,Coefficient,Absolute_Importance
cat__source_name_Job Fair,-0.6087369635082885,0.6087369635082885
cat__source_name_Consultancy,0.35995118949306243,0.35995118949306243
cat__job_title_Data Analyst,0.344719122868055,0.344719122868055
cat__highest_education_B.Tech,-0.284062586362056,0.284062586362056
cat__source_name_Other,-0.2726762702569818,0.2726762702569818
cat__source_name_AngelList,0.2546155923640219,0.2546155923640219
cat__source_name_Campus Hiring,-0.24922349449539627,0.24922349449539627
cat__job_title_Product Analyst,-0.24729268130999033,0.24729268130999033
cat__job_title_Product Manager,0.24311773375095408,0.24311773375095408
cat__job_title_Software Engineer,-0.21543678739276897,0.21543678739276897
cat__source_name_Glassdoor,0.21481151634971196,0.21481151634971196
cat__source_name_Hirect,0.17894314268606315,0.17894314268606315
cat__source_name_Company Website,0.16980900291451634,0.16980900291451634
cat__highest_education_B.E.,0.1666511793621193,0.1666511793621193
cat__source_name_LinkedIn,-0.1546704424383357,0.1546704424383357
cat__job_title_Business Intelligence Analyst,-0.143626591853656,0.143626591853656
cat__job_title_Data Scientist,-0.1405291435585327,0.1405291435585327
cat__highest_education_MBA,0.13889079650355587,0.13889079650355587
cat__department_Engineering,-0.10371289886882235,0.10371289886882235
cat__employment_type_Full-time,-0.09385631955625545,0.09385631955625545
cat__source_name_Employee Referral,0.09287569503430079,0.09287569503430079
cat__job_title_ML Engineer,-0.09228163733110342,0.09228163733110342
cat__highest_education_M.Tech,0.08644127445245396,0.08644127445245396
cat__highest_education_M.Com,-0.08527330830242923,0.08527330830242923
cat__source_name_CutShort,-0.07871905376420862,0.07871905376420862
cat__job_title_Business Analyst,0.07274490433119266,0.07274490433119266
cat__department_Business,0.07274490433119266,0.07274490433119266
cat__source_name_Indeed,-0.0706595131819986,0.0706595131819986
cat__source_name_Naukri,0.06693969255241321,0.06693969255241321
cat__job_title_Backend Developer,0.06574556682875794,0.06574556682875794
cat__highest_education_B.Sc,-0.06067784633867998,0.06067784633867998
cat__job_title_Frontend Developer,0.04597832169518945,0.04597832169518945
cat__source_name_Internshala,0.034880132653055174,0.034880132653055174
cat__department_Data,-0.03171824987523739,0.03171824987523739
cat__highest_education_MCA,-0.028830701286863172,0.028830701286863172
cat__employment_type_Contract,0.02699512758435531,0.02699512758435531
num__experience_years,-0.02043837065395666,0.02043837065395666
num__age,0.010511121857111744,0.010511121857111744
cat__source_name_Referral,-0.0050014183738345385,0.0050014183738345385
cat__department_Product,-0.004174947559036131,0.004174947559036131
