job_title,count,mean,min,max
Backend Developer,88,1151556.52,445718.37,1777241.7
Business Analyst,152,1135355.73,411494.93,1794323.42
Product Analyst,159,1135140.69,403711.69,1788552.89
ML Engineer,141,1119654.67,404732.66,1793139.56
Data Analyst,49,1109125.82,428422.65,1794509.2
Product Manager,166,1103928.32,403019.69,1797684.7
Business Intelligence Analyst,115,1095877.22,402278.6,1762511.9
Data Scientist,413,1093359.74,404099.52,1797374.33
Frontend Developer,133,1093039.91,416956.09,1783907.24
Software Engineer,117,1086522.33,401221.58,1799763.85
