skill,Applications,Hires,Hiring_Rate_%
Power BI,2130,115,5.39906103286385
Excel,3160,170,5.379746835443038
Tableau,1030,55,5.339805825242718
PostgreSQL,1004,52,5.179282868525896
Django,1004,52,5.179282868525896
AWS,988,51,5.161943319838056
SQL,6984,337,4.8253150057273775
CSS,1057,51,4.824976348155157
HTML,1057,51,4.824976348155157
React,1057,51,4.824976348155157
JavaScript,1057,51,4.824976348155157
NLP,955,46,4.81675392670157
Python,4823,225,4.665146174580137
Pandas,1084,50,4.612546125461255
Java,960,40,4.166666666666666
Spring Boot,960,40,4.166666666666666
Machine Learning,1747,72,4.12135088723526
