offer_id,application_id,offer_date,offered_salary,offer_status
1,7,2026-01-10,1539847.34,Rejected
2,13,2025-11-17,1502978.69,Rejected
3,14,2025-12-16,1226783.33,Accepted
4,18,2025-05-11,493688.4,Accepted
5,27,2025-09-30,1211029.37,Accepted
6,35,2025-05-07,1518619.23,Accepted
7,37,2025-11-06,1542040.03,Rejected
8,43,2025-07-09,1212816.67,Rejected
9,46,2025-02-15,1719629.05,Rejected
10,47,2025-06-23,1550397.4,Pending
11,52,2025-04-02,1117912.14,Accepted
12,59,2025-12-20,1038298.6,Accepted
13,67,2025-06-14,1284736.94,Rejected
14,79,2025-05-06,1200041.37,Accepted
15,82,2025-06-21,706625.48,Pending
16,85,2025-04-14,969533.45,Accepted
17,94,2025-03-14,1406948.77,Rejected
18,95,2025-12-25,1193626.67,Accepted
19,112,2025-08-18,486272.62,Accepted
20,113,2025-03-11,1406817.65,Accepted
21,129,2025-04-06,481915.16,Accepted
22,130,2025-04-17,509561.7,Pending
23,139,2025-02-16,1225881.5,Rejected
24,142,2025-02-03,1784183.33,Rejected
25,147,2025-08-20,1141419.6,Rejected
26,179,2025-05-14,1133000.82,Accepted
27,187,2025-04-19,569439.1,Accepted
28,215,2025-11-01,646941.57,Accepted
29,218,2025-03-03,1354149.49,Accepted
30,232,2025-06-24,1529038.88,Accepted
31,238,2025-08-23,1747050.77,Accepted
32,240,2025-07-25,1306565.46,Accepted
33,242,2025-10-05,939586.58,Accepted
34,259,2025-12-02,1319303.72,Pending
35,261,2025-06-11,847884.25,Pending
36,265,2025-10-01,1298314.34,Accepted
37,272,2025-07-12,856752.08,Pending
38,273,2025-03-24,1314191.15,Accepted
39,279,2025-05-11,961585.94,Pending
40,282,2025-06-27,569897.37,Accepted
41,298,2025-10-07,897722.95,Rejected
42,307,2025-12-06,1518299.66,Pending
43,314,2025-03-06,1493515.55,Accepted
44,316,2025-05-15,976965.57,Rejected
45,322,2025-04-12,1572653.92,Accepted
46,326,2025-03-18,817142.23,Accepted
47,340,2025-04-26,1691413.51,Accepted
48,347,2025-02-16,898056.44,Accepted
49,351,2025-07-18,775615.24,Pending
50,353,2025-05-16,954549.78,Accepted
51,354,2025-05-29,843198.18,Accepted
52,359,2026-01-28,787332.77,Accepted
53,368,2025-11-09,1520790.37,Rejected
54,376,2025-09-07,1425659.73,Accepted
55,377,2025-07-29,1187987.7,Accepted
56,378,2025-10-16,801227.25,Rejected
57,389,2025-05-09,996983.08,Pending
58,404,2025-10-07,1745274.88,Accepted
59,406,2025-03-05,1377204.96,Accepted
60,415,2025-12-05,1093681.12,Pending
61,416,2025-02-13,1680926.05,Accepted
62,422,2025-12-19,705369.01,Accepted
63,432,2025-07-18,1471103.57,Accepted
64,459,2025-04-28,1123665.85,Rejected
65,460,2025-05-28,1340489.7,Accepted
66,463,2025-09-12,660544.54,Accepted
67,475,2025-02-19,1794694.2,Accepted
68,480,2025-12-04,1414596.12,Rejected
69,487,2025-10-24,1234871.48,Accepted
70,490,2025-11-04,513811.03,Accepted
71,500,2025-12-29,1690400.3,Accepted
72,516,2025-02-24,1467371.73,Rejected
73,526,2025-03-04,483187.23,Rejected
74,532,2025-05-13,519758.52,Accepted
75,535,2025-09-05,1246268.95,Accepted
76,538,2025-05-28,1658956.85,Accepted
77,544,2025-10-17,680650.1,Accepted
78,548,2025-10-15,721237.41,Accepted
79,553,2025-11-15,797512.31,Accepted
80,554,2025-05-02,1518803.69,Rejected
81,558,2026-01-12,1553009.0,Accepted
82,562,2025-11-29,1559736.89,Accepted
83,566,2026-01-23,485960.74,Accepted
84,572,2025-04-20,915081.55,Accepted
85,576,2025-04-27,1208021.07,Rejected
86,578,2025-05-02,796806.98,Accepted
87,583,2025-07-04,584353.33,Accepted
88,594,2025-07-28,582648.11,Rejected
89,602,2025-09-04,934498.34,Accepted
90,611,2025-10-10,676787.01,Rejected
91,614,2025-04-28,1039923.99,Rejected
92,617,2025-07-17,666652.16,Pending
93,618,2025-09-12,421177.92,Accepted
94,625,2026-01-14,405373.19,Accepted
95,626,2025-09-09,450852.23,Accepted
96,649,2025-12-08,1070273.64,Accepted
97,655,2025-05-13,1104780.76,Accepted
98,656,2025-03-16,440605.46,Accepted
99,659,2025-08-08,1405314.47,Rejected
100,667,2025-08-29,1587615.33,Pending
101,669,2025-09-04,807459.08,Accepted
102,670,2025-09-06,1395812.11,Pending
103,681,2025-08-09,1760766.55,Rejected
104,684,2025-12-09,1776830.51,Accepted
105,691,2025-10-09,1044181.41,Accepted
106,696,2025-08-15,1315560.85,Pending
107,700,2025-03-31,467859.93,Rejected
108,702,2025-02-15,969885.72,Pending
109,710,2025-09-18,541229.62,Accepted
110,715,2025-04-01,1260480.54,Accepted
111,717,2026-01-09,1697756.99,Accepted
112,719,2026-01-25,1106420.97,Pending
113,726,2025-07-19,1685987.54,Pending
114,729,2025-06-24,1473760.9,Accepted
115,733,2026-01-05,521459.88,Pending
116,736,2025-05-26,1346132.47,Rejected
117,738,2025-08-19,979855.03,Accepted
118,739,2026-01-17,536397.64,Accepted
119,749,2025-07-28,1087075.99,Accepted
120,755,2025-10-16,432096.6,Accepted
121,759,2025-08-27,560647.21,Accepted
122,763,2025-08-18,865679.2,Accepted
123,767,2025-12-28,1322978.55,Accepted
124,769,2025-02-10,1777785.81,Rejected
125,793,2025-02-17,416807.16,Accepted
126,800,2025-07-14,1430773.37,Accepted
127,808,2025-02-20,1149122.39,Accepted
128,823,2025-10-07,1310266.17,Accepted
129,827,2025-08-31,866794.32,Accepted
130,830,2025-07-07,986202.02,Accepted
131,834,2025-12-30,1174753.63,Accepted
132,835,2025-12-08,1442724.99,Pending
133,844,2025-06-07,806463.47,Accepted
134,849,2025-03-13,1035086.05,Accepted
135,856,2025-02-18,1233002.35,Accepted
136,864,2025-07-22,923621.32,Accepted
137,875,2026-01-21,1271403.23,Pending
138,885,2025-03-26,1752014.86,Rejected
139,888,2026-01-08,833018.72,Accepted
140,894,2025-07-01,737976.24,Accepted
141,895,2026-01-26,1567127.7,Rejected
142,900,2025-12-11,1782870.09,Rejected
143,904,2025-05-06,680188.66,Rejected
144,906,2025-08-20,1079285.44,Rejected
145,909,2025-12-04,881120.88,Accepted
146,913,2026-01-14,734127.85,Accepted
147,917,2025-03-25,710450.99,Accepted
148,927,2025-12-31,1664260.29,Accepted
149,931,2025-11-05,1656914.76,Rejected
150,944,2025-06-04,1138490.49,Accepted
151,963,2026-01-08,1329374.72,Accepted
152,965,2025-11-04,1393803.07,Accepted
153,972,2025-10-24,1424115.89,Accepted
154,985,2025-06-26,1016545.98,Accepted
155,1005,2025-04-04,1012535.56,Pending
156,1013,2025-09-06,1618069.99,Accepted
157,1017,2025-12-07,864257.8,Accepted
158,1030,2025-05-20,1776427.1,Rejected
159,1042,2025-08-30,1699841.12,Accepted
160,1043,2025-05-16,1549742.56,Accepted
161,1048,2025-10-31,639912.88,Rejected
162,1051,2025-12-18,874442.78,Rejected
163,1053,2025-09-10,459924.31,Accepted
164,1054,2025-12-17,1553381.66,Accepted
165,1057,2025-06-09,1719779.52,Pending
166,1063,2025-06-22,930193.68,Accepted
167,1067,2025-07-15,526536.18,Pending
168,1068,2025-04-21,1577806.39,Rejected
169,1090,2025-10-03,642662.03,Pending
170,1092,2025-11-26,1593354.64,Accepted
171,1093,2025-08-11,1683707.3,Rejected
172,1094,2025-05-01,687358.86,Accepted
173,1102,2025-06-14,1078769.19,Accepted
174,1109,2025-07-08,429207.92,Accepted
175,1114,2025-05-01,616778.76,Accepted
176,1115,2025-11-28,1113627.42,Pending
177,1119,2025-12-21,1425616.09,Accepted
178,1126,2025-03-19,1474835.23,Accepted
179,1128,2025-11-06,1042118.1,Accepted
180,1137,2025-11-10,628567.12,Accepted
181,1144,2025-10-05,1069148.83,Accepted
182,1145,2025-12-17,1659977.22,Accepted
183,1157,2025-02-17,1006683.55,Accepted
184,1159,2025-02-18,1589411.49,Accepted
185,1161,2025-12-08,719948.15,Accepted
186,1169,2025-06-23,644559.17,Accepted
187,1171,2025-05-31,1342387.03,Accepted
188,1172,2025-07-10,1412576.34,Accepted
189,1186,2026-01-21,561029.83,Accepted
190,1187,2025-03-13,1063629.71,Accepted
191,1220,2025-12-03,404732.66,Accepted
192,1221,2026-01-03,1544916.16,Accepted
193,1237,2025-01-30,1141620.83,Accepted
194,1246,2025-07-14,1439562.29,Accepted
195,1248,2025-08-09,1520122.64,Accepted
196,1253,2025-05-09,456670.71,Accepted
197,1279,2025-07-20,498060.5,Rejected
198,1283,2026-01-15,1391075.01,Rejected
199,1290,2025-12-14,1108473.64,Accepted
200,1305,2026-01-29,1233161.99,Accepted
201,1308,2025-11-19,1232089.37,Accepted
202,1323,2025-04-06,1202692.07,Accepted
203,1328,2025-04-17,1555464.36,Accepted
204,1335,2025-11-05,1787932.8,Accepted
205,1336,2025-06-06,886487.38,Accepted
206,1350,2025-04-16,934390.86,Rejected
207,1357,2025-12-22,999791.44,Accepted
208,1370,2026-01-21,1053251.85,Accepted
209,1376,2025-06-13,1360798.98,Accepted
210,1377,2025-04-16,871810.62,Accepted
211,1383,2025-02-11,1554817.0,Accepted
212,1386,2025-10-23,1499829.25,Accepted
213,1392,2025-02-11,974897.7,Pending
214,1393,2025-08-09,607588.03,Accepted
215,1396,2025-10-12,698012.64,Accepted
216,1402,2025-02-23,977503.19,Accepted
217,1420,2025-05-01,477869.73,Accepted
218,1452,2025-10-03,1136961.35,Accepted
219,1453,2025-04-23,1178695.43,Accepted
220,1454,2025-10-18,1777241.7,Pending
221,1462,2025-06-25,973292.43,Accepted
222,1470,2025-07-03,1576652.95,Accepted
223,1471,2026-01-17,698234.78,Accepted
224,1494,2025-05-26,1181145.58,Accepted
225,1499,2026-01-18,744230.56,Accepted
226,1501,2025-04-18,497622.35,Accepted
227,1502,2025-10-07,689798.34,Accepted
228,1505,2025-02-04,869065.23,Accepted
229,1536,2025-09-04,1240965.56,Pending
230,1557,2025-12-03,1098525.41,Pending
231,1561,2025-04-16,633793.13,Accepted
232,1562,2025-10-24,857693.06,Accepted
233,1564,2025-07-12,1280491.11,Accepted
234,1569,2025-12-20,805410.89,Accepted
235,1575,2025-06-22,751295.46,Accepted
236,1579,2025-11-08,667053.7,Accepted
237,1592,2025-05-13,491474.79,Rejected
238,1598,2025-05-25,1482191.24,Pending
239,1602,2025-08-04,1575867.96,Accepted
240,1604,2025-10-08,1081756.89,Rejected
241,1610,2025-07-15,1142608.85,Accepted
242,1615,2025-06-28,1231015.7,Pending
243,1622,2025-08-14,1627222.7,Accepted
244,1626,2025-02-12,1303149.47,Accepted
245,1628,2025-07-26,1654981.5,Rejected
246,1631,2026-01-07,519500.01,Rejected
247,1632,2025-07-26,1372709.55,Accepted
248,1635,2025-02-13,1244318.18,Accepted
249,1636,2025-05-16,1058856.52,Accepted
250,1637,2025-11-23,1737251.54,Pending
251,1640,2025-10-20,852649.52,Pending
252,1652,2025-12-22,444974.44,Pending
253,1658,2025-06-12,1722111.57,Pending
254,1661,2025-09-21,777285.81,Accepted
255,1672,2026-01-29,893450.69,Accepted
256,1673,2025-12-25,828324.89,Accepted
257,1675,2025-11-03,929915.76,Rejected
258,1691,2025-05-12,1273605.35,Accepted
259,1722,2025-12-20,895559.54,Rejected
260,1723,2025-08-06,1418855.57,Accepted
261,1738,2025-07-26,1186035.46,Accepted
262,1743,2025-12-01,1287510.81,Accepted
263,1744,2025-05-24,1585498.75,Rejected
264,1750,2025-03-19,1394662.23,Accepted
265,1754,2025-12-15,838498.8,Rejected
266,1779,2025-03-11,657356.95,Accepted
267,1790,2025-09-25,1303077.62,Rejected
268,1791,2025-07-21,414529.71,Accepted
269,1793,2025-06-11,1412685.29,Accepted
270,1801,2025-03-31,1477822.36,Rejected
271,1806,2025-04-01,729678.27,Accepted
272,1807,2025-12-23,1733421.35,Accepted
273,1818,2026-01-09,574202.87,Rejected
274,1839,2025-02-10,1195783.15,Rejected
275,1841,2025-03-26,1379565.06,Accepted
276,1852,2025-01-24,521977.35,Accepted
277,1854,2025-07-25,621883.47,Accepted
278,1857,2025-06-23,1639149.21,Accepted
279,1866,2025-07-06,940238.3,Accepted
280,1868,2025-05-05,943181.15,Rejected
281,1870,2025-10-12,943773.58,Accepted
282,1881,2025-10-10,1483593.86,Accepted
283,1885,2025-11-14,459871.48,Accepted
284,1888,2025-06-12,603904.81,Accepted
285,1891,2025-08-05,667059.9,Accepted
286,1903,2025-09-10,1026203.59,Accepted
287,1909,2025-12-24,410678.2,Accepted
288,1920,2025-07-19,1303034.44,Accepted
289,1930,2025-08-31,1626071.85,Accepted
290,1938,2025-02-11,711799.09,Rejected
291,1940,2026-01-02,1431630.44,Pending
292,1941,2025-11-28,882716.1,Accepted
293,1950,2025-03-27,1383996.21,Accepted
294,1953,2025-07-01,940094.71,Rejected
295,1955,2025-07-31,1583487.18,Accepted
296,1961,2025-02-16,1186484.19,Rejected
297,1962,2025-08-02,1144151.23,Rejected
298,1964,2025-04-03,1732828.18,Accepted
299,1986,2025-06-13,909171.99,Accepted
300,1989,2025-06-08,1233911.82,Accepted
301,2000,2025-09-02,1222978.33,Rejected
302,2006,2025-09-10,629899.65,Accepted
303,2007,2025-05-07,1021664.4,Accepted
304,2009,2025-10-24,445366.56,Rejected
